10,Ziziphus,oenoplia,Kander,Rhamnaceae,
1,Aerva,lanata,Amarantaceae,,
2,Ageratum,conyzoides,Asteraceae,,
3,Anagallis,arvensis,Primulaceae,,
4,Blumea,mollis,Asteraceae,,
5,Campanula,benthamii,Campanulaceae,,
6,Capsella,bursa-pastoris,Brassicaceae,,
7,Dicliptera,roxburghiana,Acanthaceae,,
8,Emilia,sonchifolia,Asteraceae,,
9,Euphorbia,hirta,Euphorbiaceae,,
10,Euphorbia,prostrata,Euphorbiaceae,,
11,Gmaphalium,pensylvanicum,Asteraceae,,
12,Launea,fallax,Asteraceae,,
13,Launea,resedifolia,Serophulariaea,,
14,Majus,pumilus,Serophulariaea,,
15,Malva,verticillata,Malvaceae,,
16,Malvastrum,coromandelicum,Malvaceae,,
17,Oxalis,corniculata,Oxiladaceae,,
18,Parthenium,hysterophorus,Asteraceae,,
19,Peristrophe,paniculata,Footkada,Acanthaceae,
20,Phyllanthus,fraternus,Euphorbiaceae,,
21,Rungia,repens,Acanthaceae,,
22,Saussurea,heterornella,Asteraceae,,
23,Sida,cordata,Malvaceae,,
24,Sonchus,asper,Asteraceae,,
25,Vernonia,cinerea,Asteraceae,,
26,Veronica,agrestis,Scrophulariaceae,,
27,Vicoa,indica,Asteraceae,,
28,Youngia,japonica,Asteraceae,,
1,Arundinella,nepalensis,Poaceae,,
2,Aplunda,mutica,Markana,Poaceae,
3,Arundo,donax,Nara,Poaceae,
4,Chloris,dolichostachya,Madana,Poaceae,
5,Chrysopogon,serrulatus,Ghoru,Poaceae,
6,Cymbopogon,commutatus,Khau,Poaceae,
7,Cynodon,dactylon,Doob,Poaceae,
8,Digitaria,ciliaris,Poaceae,,
9,Eragrostis,japonica,Poaceae,,
10,Eragrostis,viscosa,Poaceae,,
11,Eulaliopsis,binata,Babak,Poaceae,
12,Heteropogoncontortus,Sarara,,,
13,Neyraudia,arundinacea,Bansi,Poaceae,
14,Saccharum,bengalense,Sarkanda,Poaceae,
15,Setaria,glauca,Poaceae,,
16,Setaria,verticellata,Poaceae,,
1,Dendrophthoe,falcate,Banda,Loranthaceae,
1,Phonenix,humilis,Royle,Khajoor,Aracaceae
2,Phoenix,sylvestris,Khajoor,Aracaceae,
1,Dendrocalamus,strictus,Bans,Bambuscideae,
1,Adiantum,incisum,Fern,Adiantaceae,
2,Cheilanthes,bicolor,Fern,Sinopteridaceae,
3,Equisetum,diffusum,Horstail,Equisetaceae,
1,Plagiochasma,intermedium,Marchantiaceae,,
